output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1000-r83_25-d2o96_8-v3500.o,1000.0,3500.0,83.24843,0.97944,0.00015,89.9
o_b8hcp-caseSC-c1000-r84_01-d2o96_8-v3600.o,1000.0,3600.0,84.007,0.97816,0.00015,89.98
o_b8hcp-caseSC-c1000-r84_75-d2o96_8-v3700.o,1000.0,3700.0,84.75211,0.97696,0.00014,90.05
o_b8hcp-caseSC-c1000-r85_48-d2o96_8-v3800.o,1000.0,3800.0,85.48435,0.97588,0.00014,90.13
o_b8hcp-caseSC-c1000-r86_91-d2o96_8-v4000.o,1000.0,4000.0,86.91232,0.97252,0.00015,90.24
o_b8hcp-caseSC-c1000-r87_61-d2o96_8-v4100.o,1000.0,4100.0,87.60905,0.97083,0.00014,90.28
o_b8hcp-caseSC-c1000-r88_29-d2o96_8-v4200.o,1000.0,4200.0,88.29486,0.96895,0.00014,90.33
o_b8hcp-caseSC-c1050-r62_46-d2o96_8-v1400.o,1050.0,1400.0,62.46289,0.93593,0.00016,84.8
o_b8hcp-caseSC-c1050-r65_07-d2o96_8-v1600.o,1050.0,1600.0,65.07187,0.95267,0.00016,85.95
o_b8hcp-caseSC-c1050-r67_49-d2o96_8-v1800.o,1050.0,1800.0,67.48691,0.9649,0.00015,86.82
o_b8hcp-caseSC-c1050-r69_74-d2o96_8-v2000.o,1050.0,2000.0,69.74047,0.97307,0.00018,87.48
o_b8hcp-caseSC-c1050-r70_81-d2o96_8-v2100.o,1050.0,2100.0,70.8146,0.97609,0.00015,87.79
o_b8hcp-caseSC-c1050-r71_86-d2o96_8-v2200.o,1050.0,2200.0,71.8571,0.97906,0.00017,88.05
o_b8hcp-caseSC-c1050-r72_87-d2o96_8-v2300.o,1050.0,2300.0,72.87019,0.98133,0.00018,88.28
o_b8hcp-caseSC-c1050-r73_86-d2o96_8-v2400.o,1050.0,2400.0,73.85588,0.98294,0.00014,88.47
o_b8hcp-caseSC-c1050-r74_82-d2o96_8-v2500.o,1050.0,2500.0,74.81593,0.98408,0.00013,88.68
o_b8hcp-caseSC-c1050-r75_75-d2o96_8-v2600.o,1050.0,2600.0,75.75196,0.98478,0.00015,88.85
o_b8hcp-caseSC-c1050-r76_67-d2o96_8-v2700.o,1050.0,2700.0,76.66541,0.98566,0.00017,89.01
o_b8hcp-caseSC-c1050-r77_56-d2o96_8-v2800.o,1050.0,2800.0,77.55759,0.98597,0.00017,89.16
o_b8hcp-caseSC-c1050-r78_43-d2o96_8-v2900.o,1050.0,2900.0,78.42971,0.98587,0.00017,89.29
o_b8hcp-caseSC-c1050-r79_28-d2o96_8-v3000.o,1050.0,3000.0,79.28286,0.98593,0.00016,89.41
o_b8hcp-caseSC-c1050-r80_12-d2o96_8-v3100.o,1050.0,3100.0,80.11802,0.98547,0.00016,89.53
o_b8hcp-caseSC-c1050-r80_94-d2o96_8-v3200.o,1050.0,3200.0,80.93613,0.98473,0.00016,89.63
o_b8hcp-caseSC-c1050-r81_74-d2o96_8-v3300.o,1050.0,3300.0,81.73803,0.98425,0.00013,89.72
o_b8hcp-caseSC-c1050-r82_52-d2o96_8-v3400.o,1050.0,3400.0,82.52449,0.98324,0.00014,89.81
o_b8hcp-caseSC-c1050-r83_30-d2o96_8-v3500.o,1050.0,3500.0,83.29625,0.98209,0.00016,89.9
o_b8hcp-caseSC-c1050-r84_05-d2o96_8-v3600.o,1050.0,3600.0,84.05396,0.9812,0.00015,89.98
o_b8hcp-caseSC-c1050-r84_80-d2o96_8-v3700.o,1050.0,3700.0,84.79825,0.97947,0.00015,90.04
o_b8hcp-caseSC-c1050-r85_53-d2o96_8-v3800.o,1050.0,3800.0,85.5297,0.97826,0.00014,90.11
o_b8hcp-caseSC-c1050-r86_96-d2o96_8-v4000.o,1050.0,4000.0,86.9562,0.975,0.00013,90.23
o_b8hcp-caseSC-c1050-r87_65-d2o96_8-v4100.o,1050.0,4100.0,87.65222,0.97394,0.00015,90.3
o_b8hcp-caseSC-c1050-r88_34-d2o96_8-v4200.o,1050.0,4200.0,88.33737,0.97213,0.00016,90.34
o_b8hcp-caseSC-c1100-r62_55-d2o96_8-v1400.o,1100.0,1400.0,62.54776,0.93512,0.00015,84.57
o_b8hcp-caseSC-c1100-r65_15-d2o96_8-v1600.o,1100.0,1600.0,65.15008,0.95253,0.00016,85.74
o_b8hcp-caseSC-c1100-r67_56-d2o96_8-v1800.o,1100.0,1800.0,67.55963,0.9652,0.00016,86.64
o_b8hcp-caseSC-c1100-r69_81-d2o96_8-v2000.o,1100.0,2000.0,69.80857,0.97427,0.00016,87.36
o_b8hcp-caseSC-c1100-r70_88-d2o96_8-v2100.o,1100.0,2100.0,70.88066,0.97748,0.00016,87.66
o_b8hcp-caseSC-c1100-r71_92-d2o96_8-v2200.o,1100.0,2200.0,71.92125,0.98069,0.00016,87.91
o_b8hcp-caseSC-c1100-r72_93-d2o96_8-v2300.o,1100.0,2300.0,72.93258,0.98311,0.00016,88.16
o_b8hcp-caseSC-c1100-r73_92-d2o96_8-v2400.o,1100.0,2400.0,73.91661,0.98456,0.00016,88.37
o_b8hcp-caseSC-c1100-r74_88-d2o96_8-v2500.o,1100.0,2500.0,74.87512,0.98616,0.00015,88.58
o_b8hcp-caseSC-c1100-r75_81-d2o96_8-v2600.o,1100.0,2600.0,75.8097,0.98749,0.00017,88.77
o_b8hcp-caseSC-c1100-r76_72-d2o96_8-v2700.o,1100.0,2700.0,76.72178,0.98791,0.00017,88.92
o_b8hcp-caseSC-c1100-r77_61-d2o96_8-v2800.o,1100.0,2800.0,77.61268,0.98883,0.00013,89.06
o_b8hcp-caseSC-c1100-r78_48-d2o96_8-v2900.o,1100.0,2900.0,78.48358,0.98873,0.00013,89.21
o_b8hcp-caseSC-c1100-r79_34-d2o96_8-v3000.o,1100.0,3000.0,79.33557,0.98905,0.00016,89.35
o_b8hcp-caseSC-c1100-r80_17-d2o96_8-v3100.o,1100.0,3100.0,80.16965,0.98864,0.00017,89.45
o_b8hcp-caseSC-c1100-r80_99-d2o96_8-v3200.o,1100.0,3200.0,80.98672,0.98822,0.00016,89.57
o_b8hcp-caseSC-c1100-r81_79-d2o96_8-v3300.o,1100.0,3300.0,81.78763,0.98763,0.00016,89.66
o_b8hcp-caseSC-c1100-r82_57-d2o96_8-v3400.o,1100.0,3400.0,82.57315,0.98678,0.00015,89.77
o_b8hcp-caseSC-c1100-r83_34-d2o96_8-v3500.o,1100.0,3500.0,83.34401,0.98591,0.00018,89.85
o_b8hcp-caseSC-c1100-r84_10-d2o96_8-v3600.o,1100.0,3600.0,84.10086,0.9849,0.00015,89.92
o_b8hcp-caseSC-c1100-r84_84-d2o96_8-v3700.o,1100.0,3700.0,84.84433,0.9839,0.00018,90.01
o_b8hcp-caseSC-c1100-r85_57-d2o96_8-v3800.o,1100.0,3800.0,85.575,0.98247,0.00015,90.07
o_b8hcp-caseSC-c1100-r87_00-d2o96_8-v4000.o,1100.0,4000.0,87.00003,0.97989,0.00015,90.2
o_b8hcp-caseSC-c1100-r87_70-d2o96_8-v4100.o,1100.0,4100.0,87.69536,0.97795,0.00017,90.26
o_b8hcp-caseSC-c1100-r88_38-d2o96_8-v4200.o,1100.0,4200.0,88.37984,0.97656,0.00015,90.3
o_b8hcp-caseSC-c1150-r62_63-d2o96_8-v1400.o,1150.0,1400.0,62.6324,0.93268,0.00016,84.23
o_b8hcp-caseSC-c1150-r65_23-d2o96_8-v1600.o,1150.0,1600.0,65.22811,0.95092,0.00016,85.46
o_b8hcp-caseSC-c1150-r67_63-d2o96_8-v1800.o,1150.0,1800.0,67.6322,0.96462,0.00016,86.4
o_b8hcp-caseSC-c1150-r69_88-d2o96_8-v2000.o,1150.0,2000.0,69.87654,0.97425,0.00016,87.13
o_b8hcp-caseSC-c1150-r70_95-d2o96_8-v2100.o,1150.0,2100.0,70.94659,0.97793,0.00016,87.44
o_b8hcp-caseSC-c1150-r71_99-d2o96_8-v2200.o,1150.0,2200.0,71.9853,0.98167,0.00015,87.72
o_b8hcp-caseSC-c1150-r72_99-d2o96_8-v2300.o,1150.0,2300.0,72.99486,0.98427,0.00014,87.98
o_b8hcp-caseSC-c1150-r73_98-d2o96_8-v2400.o,1150.0,2400.0,73.97725,0.98632,0.00016,88.22
o_b8hcp-caseSC-c1150-r74_93-d2o96_8-v2500.o,1150.0,2500.0,74.93422,0.98821,0.00014,88.43
o_b8hcp-caseSC-c1150-r75_87-d2o96_8-v2600.o,1150.0,2600.0,75.86735,0.98977,0.00015,88.6
o_b8hcp-caseSC-c1150-r76_78-d2o96_8-v2700.o,1150.0,2700.0,76.77807,0.99077,0.00014,88.8
o_b8hcp-caseSC-c1150-r77_67-d2o96_8-v2800.o,1150.0,2800.0,77.66768,0.99172,0.00017,88.95
o_b8hcp-caseSC-c1150-r78_54-d2o96_8-v2900.o,1150.0,2900.0,78.53737,0.99171,0.00015,89.08
o_b8hcp-caseSC-c1150-r79_39-d2o96_8-v3000.o,1150.0,3000.0,79.38822,0.99195,0.00018,89.22
o_b8hcp-caseSC-c1150-r80_22-d2o96_8-v3100.o,1150.0,3100.0,80.2212,0.99216,0.00015,89.35
o_b8hcp-caseSC-c1150-r81_04-d2o96_8-v3200.o,1150.0,3200.0,81.03724,0.99179,0.00014,89.48
o_b8hcp-caseSC-c1150-r81_84-d2o96_8-v3300.o,1150.0,3300.0,81.83717,0.99182,0.00016,89.57
o_b8hcp-caseSC-c1150-r82_62-d2o96_8-v3400.o,1150.0,3400.0,82.62175,0.99103,0.00016,89.68
o_b8hcp-caseSC-c1150-r83_39-d2o96_8-v3500.o,1150.0,3500.0,83.39171,0.99045,0.00013,89.77
o_b8hcp-caseSC-c1150-r84_15-d2o96_8-v3600.o,1150.0,3600.0,84.14771,0.98999,0.00013,89.86
o_b8hcp-caseSC-c1150-r84_89-d2o96_8-v3700.o,1150.0,3700.0,84.89037,0.98853,0.00014,89.93
o_b8hcp-caseSC-c1150-r85_62-d2o96_8-v3800.o,1150.0,3800.0,85.62025,0.9878,0.00015,90.02
o_b8hcp-caseSC-c1150-r87_04-d2o96_8-v4000.o,1150.0,4000.0,87.04381,0.98534,0.00015,90.13
o_b8hcp-caseSC-c1150-r87_74-d2o96_8-v4100.o,1150.0,4100.0,87.73845,0.98371,0.00015,90.2
o_b8hcp-caseSC-c1150-r88_42-d2o96_8-v4200.o,1150.0,4200.0,88.42227,0.98257,0.00014,90.25
o_b8hcp-caseSC-c1200-r62_72-d2o96_8-v1400.o,1200.0,1400.0,62.71681,0.93284,0.00016,84.08
o_b8hcp-caseSC-c1200-r65_31-d2o96_8-v1600.o,1200.0,1600.0,65.30595,0.95171,0.00018,85.31
o_b8hcp-caseSC-c1200-r67_70-d2o96_8-v1800.o,1200.0,1800.0,67.70461,0.96571,0.00014,86.27
o_b8hcp-caseSC-c1200-r69_94-d2o96_8-v2000.o,1200.0,2000.0,69.94439,0.97587,0.00015,87.03
o_b8hcp-caseSC-c1200-r71_01-d2o96_8-v2100.o,1200.0,2100.0,71.0124,0.97975,0.00015,87.35
o_b8hcp-caseSC-c1200-r72_05-d2o96_8-v2200.o,1200.0,2200.0,72.04923,0.98356,0.00014,87.64
o_b8hcp-caseSC-c1200-r73_06-d2o96_8-v2300.o,1200.0,2300.0,73.05704,0.98581,0.00017,87.88
o_b8hcp-caseSC-c1200-r74_04-d2o96_8-v2400.o,1200.0,2400.0,74.03779,0.98831,0.00014,88.13
o_b8hcp-caseSC-c1200-r74_99-d2o96_8-v2500.o,1200.0,2500.0,74.99322,0.99041,0.00013,88.35
o_b8hcp-caseSC-c1200-r75_92-d2o96_8-v2600.o,1200.0,2600.0,75.92491,0.99165,0.00014,88.56
o_b8hcp-caseSC-c1200-r76_83-d2o96_8-v2700.o,1200.0,2700.0,76.83427,0.99328,0.00015,88.73
o_b8hcp-caseSC-c1200-r77_72-d2o96_8-v2800.o,1200.0,2800.0,77.72261,0.99372,0.00016,88.88
o_b8hcp-caseSC-c1200-r78_59-d2o96_8-v2900.o,1200.0,2900.0,78.59109,0.99489,0.00015,89.03
o_b8hcp-caseSC-c1200-r79_44-d2o96_8-v3000.o,1200.0,3000.0,79.44079,0.99491,0.00016,89.18
o_b8hcp-caseSC-c1200-r80_27-d2o96_8-v3100.o,1200.0,3100.0,80.27269,0.99528,0.00016,89.3
o_b8hcp-caseSC-c1200-r81_09-d2o96_8-v3200.o,1200.0,3200.0,81.0877,0.99528,0.00014,89.43
o_b8hcp-caseSC-c1200-r81_89-d2o96_8-v3300.o,1200.0,3300.0,81.88664,0.99501,0.00015,89.53
o_b8hcp-caseSC-c1200-r82_67-d2o96_8-v3400.o,1200.0,3400.0,82.6703,0.99407,0.00015,89.64
o_b8hcp-caseSC-c1200-r83_44-d2o96_8-v3500.o,1200.0,3500.0,83.43937,0.99373,0.00017,89.74
o_b8hcp-caseSC-c1200-r84_19-d2o96_8-v3600.o,1200.0,3600.0,84.19452,0.99297,0.00014,89.82
o_b8hcp-caseSC-c1200-r84_94-d2o96_8-v3700.o,1200.0,3700.0,84.93636,0.99255,0.00013,89.9
o_b8hcp-caseSC-c1200-r85_67-d2o96_8-v3800.o,1200.0,3800.0,85.66546,0.99158,0.00014,89.97
o_b8hcp-caseSC-c1200-r87_09-d2o96_8-v4000.o,1200.0,4000.0,87.08755,0.98905,0.00015,90.11
o_b8hcp-caseSC-c1200-r87_78-d2o96_8-v4100.o,1200.0,4100.0,87.7815,0.98791,0.00015,90.18
o_b8hcp-caseSC-c1200-r88_46-d2o96_8-v4200.o,1200.0,4200.0,88.46466,0.98653,0.00015,90.22
o_b8hcp-caseSC-c1250-r62_80-d2o96_8-v1400.o,1250.0,1400.0,62.80099,0.92653,0.00018,83.52
o_b8hcp-caseSC-c1250-r65_38-d2o96_8-v1600.o,1250.0,1600.0,65.3836,0.94645,0.00015,84.86
o_b8hcp-caseSC-c1250-r67_78-d2o96_8-v1800.o,1250.0,1800.0,67.77687,0.96169,0.00016,85.87
o_b8hcp-caseSC-c1250-r70_01-d2o96_8-v2000.o,1250.0,2000.0,70.0121,0.97319,0.00015,86.67
o_b8hcp-caseSC-c1250-r71_08-d2o96_8-v2100.o,1250.0,2100.0,71.0781,0.97762,0.00015,87.0
o_b8hcp-caseSC-c1250-r72_11-d2o96_8-v2200.o,1250.0,2200.0,72.11304,0.98167,0.00019,87.32
o_b8hcp-caseSC-c1250-r73_12-d2o96_8-v2300.o,1250.0,2300.0,73.11911,0.98511,0.00017,87.59
o_b8hcp-caseSC-c1250-r74_10-d2o96_8-v2400.o,1250.0,2400.0,74.09823,0.98775,0.00016,87.85
o_b8hcp-caseSC-c1250-r75_05-d2o96_8-v2500.o,1250.0,2500.0,75.05213,0.99015,0.00017,88.09
o_b8hcp-caseSC-c1250-r75_98-d2o96_8-v2600.o,1250.0,2600.0,75.98238,0.99215,0.00017,88.29
o_b8hcp-caseSC-c1250-r76_89-d2o96_8-v2700.o,1250.0,2700.0,76.8904,0.99366,0.00016,88.48
o_b8hcp-caseSC-c1250-r77_78-d2o96_8-v2800.o,1250.0,2800.0,77.77746,0.99529,0.00015,88.66
o_b8hcp-caseSC-c1250-r78_64-d2o96_8-v2900.o,1250.0,2900.0,78.64474,0.99602,0.00014,88.82
o_b8hcp-caseSC-c1250-r79_49-d2o96_8-v3000.o,1250.0,3000.0,79.4933,0.99707,0.00015,88.97
o_b8hcp-caseSC-c1250-r80_32-d2o96_8-v3100.o,1250.0,3100.0,80.32412,0.99746,0.00016,89.11
o_b8hcp-caseSC-c1250-r81_14-d2o96_8-v3200.o,1250.0,3200.0,81.1381,0.99784,0.00014,89.24
o_b8hcp-caseSC-c1250-r81_94-d2o96_8-v3300.o,1250.0,3300.0,81.93606,0.99775,0.00015,89.36
o_b8hcp-caseSC-c1250-r82_72-d2o96_8-v3400.o,1250.0,3400.0,82.71878,0.998,0.00017,89.46
o_b8hcp-caseSC-c1250-r83_49-d2o96_8-v3500.o,1250.0,3500.0,83.48696,0.99784,0.00015,89.56
o_b8hcp-caseSC-c1250-r84_24-d2o96_8-v3600.o,1250.0,3600.0,84.24126,0.99725,0.00014,89.67
o_b8hcp-caseSC-c1250-r84_98-d2o96_8-v3700.o,1250.0,3700.0,84.98229,0.99673,0.00016,89.77
o_b8hcp-caseSC-c1250-r85_71-d2o96_8-v3800.o,1250.0,3800.0,85.71062,0.99592,0.00015,89.83
o_b8hcp-caseSC-c1250-r87_13-d2o96_8-v4000.o,1250.0,4000.0,87.13125,0.99436,0.00016,89.99
o_b8hcp-caseSC-c1250-r87_82-d2o96_8-v4100.o,1250.0,4100.0,87.82451,0.99346,0.00016,90.05
o_b8hcp-caseSC-c1250-r88_51-d2o96_8-v4200.o,1250.0,4200.0,88.507,0.99227,0.00013,90.12
o_b8hcp-caseSC-c1300-r62_88-d2o96_8-v1400.o,1300.0,1400.0,62.88495,0.92305,0.00015,83.17
o_b8hcp-caseSC-c1300-r65_46-d2o96_8-v1600.o,1300.0,1600.0,65.46107,0.94414,0.00017,84.52
o_b8hcp-caseSC-c1300-r67_85-d2o96_8-v1800.o,1300.0,1800.0,67.84897,0.95997,0.00015,85.6
o_b8hcp-caseSC-c1300-r70_08-d2o96_8-v2000.o,1300.0,2000.0,70.07968,0.97218,0.00016,86.44
o_b8hcp-caseSC-c1300-r71_14-d2o96_8-v2100.o,1300.0,2100.0,71.14367,0.9775,0.00017,86.8
o_b8hcp-caseSC-c1300-r72_18-d2o96_8-v2200.o,1300.0,2200.0,72.17675,0.98114,0.00015,87.1
o_b8hcp-caseSC-c1300-r73_18-d2o96_8-v2300.o,1300.0,2300.0,73.18108,0.98482,0.00016,87.4
o_b8hcp-caseSC-c1300-r74_16-d2o96_8-v2400.o,1300.0,2400.0,74.15857,0.98807,0.00014,87.66
o_b8hcp-caseSC-c1300-r75_11-d2o96_8-v2500.o,1300.0,2500.0,75.11095,0.99088,0.00017,87.91
o_b8hcp-caseSC-c1300-r76_04-d2o96_8-v2600.o,1300.0,2600.0,76.03977,0.99289,0.00016,88.12
o_b8hcp-caseSC-c1300-r76_95-d2o96_8-v2700.o,1300.0,2700.0,76.94644,0.99493,0.00016,88.34
o_b8hcp-caseSC-c1300-r77_83-d2o96_8-v2800.o,1300.0,2800.0,77.83223,0.99685,0.00016,88.51
o_b8hcp-caseSC-c1300-r78_70-d2o96_8-v2900.o,1300.0,2900.0,78.69831,0.9979,0.00016,88.68
o_b8hcp-caseSC-c1300-r79_55-d2o96_8-v3000.o,1300.0,3000.0,79.54573,0.99902,0.00016,88.84
o_b8hcp-caseSC-c1300-r80_38-d2o96_8-v3100.o,1300.0,3100.0,80.37547,0.99964,0.00016,89.0
o_b8hcp-caseSC-c1300-r81_19-d2o96_8-v3200.o,1300.0,3200.0,81.18843,0.99987,0.00014,89.11
o_b8hcp-caseSC-c1300-r81_99-d2o96_8-v3300.o,1300.0,3300.0,81.98542,1.00026,0.00013,89.24
o_b8hcp-caseSC-c1300-r82_77-d2o96_8-v3400.o,1300.0,3400.0,82.76721,1.00056,0.00014,89.36
o_b8hcp-caseSC-c1300-r83_53-d2o96_8-v3500.o,1300.0,3500.0,83.53451,1.00039,0.00013,89.47
o_b8hcp-caseSC-c1300-r84_29-d2o96_8-v3600.o,1300.0,3600.0,84.28796,1.0004,0.00015,89.58
o_b8hcp-caseSC-c1300-r85_03-d2o96_8-v3700.o,1300.0,3700.0,85.02818,1.00029,0.00017,89.67
o_b8hcp-caseSC-c1300-r85_76-d2o96_8-v3800.o,1300.0,3800.0,85.75573,0.99963,0.00015,89.75
o_b8hcp-caseSC-c1300-r87_17-d2o96_8-v4000.o,1300.0,4000.0,87.1749,0.99785,0.00014,89.9
o_b8hcp-caseSC-c1300-r87_87-d2o96_8-v4100.o,1300.0,4100.0,87.86748,0.9974,0.00016,89.98
o_b8hcp-caseSC-c1300-r88_55-d2o96_8-v4200.o,1300.0,4200.0,88.54931,0.9966,0.00014,90.06
o_b8hcp-caseSC-c1350-r62_97-d2o96_8-v1400.o,1350.0,1400.0,62.96868,0.91609,0.00017,82.62
o_b8hcp-caseSC-c1350-r65_54-d2o96_8-v1600.o,1350.0,1600.0,65.53835,0.93857,0.00016,84.09
o_b8hcp-caseSC-c1350-r67_92-d2o96_8-v1800.o,1350.0,1800.0,67.92092,0.95537,0.00017,85.18
o_b8hcp-caseSC-c1350-r70_15-d2o96_8-v2000.o,1350.0,2000.0,70.14712,0.9685,0.00016,86.08
o_b8hcp-caseSC-c1350-r71_21-d2o96_8-v2100.o,1350.0,2100.0,71.20912,0.97358,0.00015,86.43
o_b8hcp-caseSC-c1350-r72_24-d2o96_8-v2200.o,1350.0,2200.0,72.24034,0.97856,0.00017,86.78
o_b8hcp-caseSC-c1350-r73_24-d2o96_8-v2300.o,1350.0,2300.0,73.24294,0.98263,0.00016,87.11
o_b8hcp-caseSC-c1350-r74_22-d2o96_8-v2400.o,1350.0,2400.0,74.21881,0.98632,0.00015,87.37
o_b8hcp-caseSC-c1350-r75_17-d2o96_8-v2500.o,1350.0,2500.0,75.16968,0.98956,0.00015,87.63
o_b8hcp-caseSC-c1350-r76_10-d2o96_8-v2600.o,1350.0,2600.0,76.09707,0.99219,0.00019,87.88
o_b8hcp-caseSC-c1350-r77_00-d2o96_8-v2700.o,1350.0,2700.0,77.0024,0.99423,0.00017,88.07
o_b8hcp-caseSC-c1350-r77_89-d2o96_8-v2800.o,1350.0,2800.0,77.88693,0.99629,0.00015,88.27
o_b8hcp-caseSC-c1350-r78_75-d2o96_8-v2900.o,1350.0,2900.0,78.75181,0.99776,0.00016,88.46
o_b8hcp-caseSC-c1350-r79_60-d2o96_8-v3000.o,1350.0,3000.0,79.5981,0.99909,0.00015,88.63
o_b8hcp-caseSC-c1350-r80_43-d2o96_8-v3100.o,1350.0,3100.0,80.42677,1.00055,0.00015,88.79
o_b8hcp-caseSC-c1350-r81_24-d2o96_8-v3200.o,1350.0,3200.0,81.2387,1.0011,0.00014,88.92
o_b8hcp-caseSC-c1350-r82_03-d2o96_8-v3300.o,1350.0,3300.0,82.03472,1.00194,0.00015,89.05
o_b8hcp-caseSC-c1350-r82_82-d2o96_8-v3400.o,1350.0,3400.0,82.81559,1.00252,0.00015,89.18
o_b8hcp-caseSC-c1350-r83_58-d2o96_8-v3500.o,1350.0,3500.0,83.582,1.00229,0.00015,89.29
o_b8hcp-caseSC-c1350-r84_33-d2o96_8-v3600.o,1350.0,3600.0,84.33461,1.00233,0.00015,89.4
o_b8hcp-caseSC-c1350-r85_07-d2o96_8-v3700.o,1350.0,3700.0,85.07402,1.00243,0.00015,89.51
o_b8hcp-caseSC-c1350-r85_80-d2o96_8-v3800.o,1350.0,3800.0,85.80079,1.00229,0.00013,89.61
o_b8hcp-caseSC-c1350-r87_22-d2o96_8-v4000.o,1350.0,4000.0,87.21851,1.0013,0.00014,89.77
o_b8hcp-caseSC-c1350-r87_91-d2o96_8-v4100.o,1350.0,4100.0,87.91041,1.00079,0.00013,89.84
o_b8hcp-caseSC-c1350-r88_59-d2o96_8-v4200.o,1350.0,4200.0,88.59158,0.99985,0.00016,89.93
o_b8hcp-caseSC-c1400-r63_05-d2o96_8-v1400.o,1400.0,1400.0,63.0522,0.89608,0.00016,81.29
o_b8hcp-caseSC-c1400-r65_62-d2o96_8-v1600.o,1400.0,1600.0,65.61546,0.9208,0.00017,82.92
o_b8hcp-caseSC-c1400-r67_99-d2o96_8-v1800.o,1400.0,1800.0,67.99272,0.94046,0.00017,84.17
o_b8hcp-caseSC-c1400-r70_21-d2o96_8-v2000.o,1400.0,2000.0,70.21444,0.95577,0.00014,85.17
o_b8hcp-caseSC-c1400-r71_27-d2o96_8-v2100.o,1400.0,2100.0,71.27444,0.96175,0.00015,85.58
o_b8hcp-caseSC-c1400-r72_30-d2o96_8-v2200.o,1400.0,2200.0,72.30382,0.96793,0.00016,85.96
o_b8hcp-caseSC-c1400-r73_30-d2o96_8-v2300.o,1400.0,2300.0,73.30469,0.97279,0.00015,86.31
o_b8hcp-caseSC-c1400-r74_28-d2o96_8-v2400.o,1400.0,2400.0,74.27896,0.97739,0.00016,86.61
o_b8hcp-caseSC-c1400-r75_23-d2o96_8-v2500.o,1400.0,2500.0,75.22831,0.98166,0.00015,86.91
o_b8hcp-caseSC-c1400-r76_15-d2o96_8-v2600.o,1400.0,2600.0,76.15429,0.98519,0.00016,87.19
o_b8hcp-caseSC-c1400-r77_06-d2o96_8-v2700.o,1400.0,2700.0,77.05828,0.98833,0.00016,87.44
o_b8hcp-caseSC-c1400-r77_94-d2o96_8-v2800.o,1400.0,2800.0,77.94155,0.99094,0.00014,87.66
o_b8hcp-caseSC-c1400-r78_81-d2o96_8-v2900.o,1400.0,2900.0,78.80524,0.99362,0.00017,87.87
o_b8hcp-caseSC-c1400-r79_65-d2o96_8-v3000.o,1400.0,3000.0,79.6504,0.99534,0.00018,88.07
o_b8hcp-caseSC-c1400-r80_48-d2o96_8-v3100.o,1400.0,3100.0,80.47799,0.99727,0.00016,88.24
o_b8hcp-caseSC-c1400-r81_29-d2o96_8-v3200.o,1400.0,3200.0,81.28891,0.99918,0.00015,88.41
o_b8hcp-caseSC-c1400-r82_08-d2o96_8-v3300.o,1400.0,3300.0,82.08396,1.00053,0.00013,88.55
